Project Count,Program,City,County,Low Income Units*
1,LAP,Richland,Benton,40
1,LAP,Vancouver,Clark,80
1,CDLAP,SeaTac,King,125
1,LAP,Seattle,King,285
1,LAP,Port Townsend,Jefferson,30
1,LAP,Seattle,King,71
1,LAP,Seattle,King,150
1,LAP,Tukwila,King,120
1,LAP,Shoreline,King,200
1,LAP,Prosser,Benton,90
1,LAP,Mattawa,Grant,60
1,LAP,Mattawa,Grant,50
1,LAP,Bellingham,Whatcom,60
1,LAP,Seattle,King,75
1,LAP,Spokane,Spokane,50
1,LAP,Spokane,Spokane,50
1,LAP,Pasco,Franklin,59
1,LAP,Seattle,King,100
1,LAP,Walla Walla,Walla Walla,51
1,LAP,Carson,Skamania,16
1,LAP,Spokane,Spokane,25
1,LAP,Spokane,Spokane,25
1,CDLAP,Seattle,King ,134
1,CDLAP,Seattle,King,144
1,LAP,SeaTac,King,144
1,LAP,Federal Way,King,208
1,LAP,Vancouver,Clark,13
1,LAP,Olympia,Thurston,40
1,LAP,Bremerton,Kitsap,83
1,CDLAP,Seattle,King,110
1,LAP,Seattle,King,124
1,ELAP,Renton,King,136
1,LAP,Port Townsend,Jefferson,15
1,LAP,Port Orchard,Kitsap,30
1,LAP,Kittitas,Kittitas,1
1,LAP,Everett,Snohomish,9
1,LAP,Tacoma,Pierce,4
1,LAP,Tacoma,Pierce,28
1,LAP,Tacoma,Pierce,13
1,LAP,Wenatchee,Chelan,1
1,LAP,Renton,King,12
1,LAP,Cle Elum,Kittitas,13
1,LAP,Bellevue,King,25
1,State LAP,Everett,Snohomish,32
1,LAP,Olympia,Thurston,6
1,LAP,Tukwila,King,18
1,LAP,Entiat,Chelan,60
1,LAP,Ellensburg,Kittitas,90
1,LAP,Cle Elum,Kittitas,20
1,State LAP,Winthrop,Okanogan,22
1,LAP,Mt. Vernon,Skagit,50
1,LAP,Monroe,Snohomish,47
1,LAP,Marysville,Snohomish,90
1,State LAP,Everett,Snohomish,60
1,LAP,Longview,Cowlitz,85
1,LAP,Longview,Cowlitz,100
1,ELAP,Kirkland,King,470
1,LAP,Tacoma,Pierce,48
1,LAP,Seattle,King,101
1,LAP,Yakima ,Yakima,29
1,LAP,Kelso,Cowlitz,30
1,LAP,Kennewick,Benton,20
1,LAP,Bellingham,Whatcom,16
1,LAP,Seattle,King,50
1,LAP,Seattle,King,115
1,LAP,Tacoma,Pierce,122
1,LAP,Seattle,King,76
1,LAP,Seattle,King,234
1,LAP,Omak,Okanogan,75
1,LAP,Eastsound,San Juan,45
1,LAP,Eastsound,San Juan,6
1,State LAP,Eastsound,San Juan,20
1,LAP,Othello,Adams,40
1,LAP,Graham,Pierce,6
1,LAP,Port Angeles,Clallam,37
1,State LAP,Seattle,King,108
1,LAP,Friday Harbor,San Juan,50
1,LAP,Seattle,King,262
1,CDLAP,Seattle,King,90
1,LAP,Bellingham,Whatcom,8
1,LAP,Mountlake Terrace,Snohomish,40
1,LAP,Yelm,Thurston,21
1,LAP,Spokane Valley,Spokane,275
1,LAP,Spokane,Spokane,10
1,LAP,Spokane,Spokane,58
1,ELAP,Bellevue,King,235
1,LAP,Bremerton,Kitsap,138
1,LAP,Tacoma,Pierce,60
1,LAP,Tacoma,Pierce,150
1,LAP,Abderdeen,Grays Harbor,60
1,ELAP,Kirkland,King,165
1,ELAP,Kenmore,King,175
1,CDLAP,Seattle,King,291
1,LAP,Seattle,King,64
1,LAP,Vancouver,Clark,50
1,LAP,Battleground,Clark,80
1,LAP,Vancouver,Clark,92
1,LAP,Spanaway,Pierce,80
1,LAP,Spanaway,Pierce,8
1,LAP,Walla Walla,Walla Walla,20
1,LAP,Walla Walla,Walla Walla,50
1,LAP,Walla Walla,Walla Walla,48
1,LAP,Walla Walla,Walla Walla,50
1,LAP,Walla Walla,Walla Walla,80
1,LAP,Dallasport,Klickitat,36
1,LAP,Yakima ,Yakima,8
1,LAP,Yakima ,Yakima,10
